Question,SQL Query
What tools are commonly used in Testing?,SELECT * FROM data WHERE FunctionalArea = 'Testing'
Show me tools for Build Tool.,SELECT * FROM data WHERE FunctionalArea = 'Build Tool'
List tools for Video Conference.,SELECT * FROM data WHERE FunctionalArea = 'Video Conference'
Which tools are suitable for Server Side Framework?,SELECT * FROM data WHERE FunctionalArea = 'Server Side Framework'
What are the tools commonly used in Monitoring Solution?,SELECT * FROM data WHERE FunctionalArea = 'Monitoring Solution'
Show me tools for Configuration Management for Distributed Systems.,SELECT * FROM data WHERE FunctionalArea = 'Configuration Management for Distributed Systems'
List all the tools for Programming Language Client-side.,SELECT * FROM data WHERE FunctionalArea = 'Programming Language Client-side'
Which tools are used for GIS Desktop?,SELECT * FROM data WHERE FunctionalArea = 'GIS Desktop'
What tools are associated with Non-Relational Database (Big Data)?,SELECT * FROM data WHERE FunctionalArea = 'Non-Relational Database (Big Data)'
Show me tools used in Analytics and Search Engine.,SELECT * FROM data WHERE FunctionalArea = 'Analytics and Search Engine'
List tools for Source Code Editor.,SELECT * FROM data WHERE FunctionalArea = 'Source Code Editor'
Which tools should I use for Dashboard development?,SELECT * FROM data WHERE FunctionalArea = 'Dashboard'
What tools are recommended for managing Storage?,SELECT * FROM data WHERE FunctionalArea = 'Storage'
Show me tools used for In-Memory Database.,SELECT * FROM data WHERE FunctionalArea = 'In-Memory Database'
List all the tools for IDE.,SELECT * FROM data WHERE FunctionalArea = 'IDE'
Which tools are suitable for Application Life Cycle Management / Project Management?,SELECT * FROM data WHERE FunctionalArea = 'Application Life Cycle Management / Project Management'
What tools are commonly used in Database Reporting?,SELECT * FROM data WHERE FunctionalArea = 'Database Reporting'
Show me tools for Server-side API (GoLang).,SELECT * FROM data WHERE FunctionalArea = 'Server-side API (GoLang)'
List tools for Networking Platform/API.,SELECT * FROM data WHERE FunctionalArea = 'Networking Platform/API'
Which tools are used for Documentation?,SELECT * FROM data WHERE FunctionalArea = 'Documentation'
What tools are associated with Knowledge Management?,SELECT * FROM data WHERE FunctionalArea = 'Knowledge Management'
Show me tools used for Directory Services.,SELECT * FROM data WHERE FunctionalArea = 'Directory Services'
List all the tools for Issue Tracking.,SELECT * FROM data WHERE FunctionalArea = 'Issue Tracking'
Which tools should I use for Database Administration?,SELECT * FROM data WHERE FunctionalArea = 'Database Administration'
What tools are commonly used in Static Code Analysis?,SELECT * FROM data WHERE FunctionalArea = 'Static Code Analyzer'
Show me tools for Application Development and Deployment.,SELECT * FROM data WHERE FunctionalArea = 'Application Development and Deployment'
List tools for Cross-platform application development.,SELECT * FROM data WHERE FunctionalArea = 'Cross-platform'
Which tools are used for Monitoring Solution?,SELECT * FROM data WHERE FunctionalArea = 'Monitoring Solution'
What are the tools commonly used in GIS Server management?,SELECT * FROM data WHERE FunctionalArea = 'GIS Server'
Show me tools for Digital Archival Repository management.,SELECT * FROM data WHERE FunctionalArea = 'Digital Archival Repository'
List all the tools for E-learning platforms.,SELECT * FROM data WHERE FunctionalArea = 'E-learning'
Which tools are suitable for Cloud Platform solutions?,SELECT * FROM data WHERE FunctionalArea = 'Cloud Platform'
What tools are recommended for managing Application Life Cycle Management / Project Management?,SELECT * FROM data WHERE FunctionalArea = 'Application Life Cycle Management / Project Management'
Show me tools used for CI/CD.,SELECT * FROM data WHERE FunctionalArea = 'CI/CD'
List tools for Business Intelligence (BI) solutions.,SELECT * FROM data WHERE FunctionalArea = 'Business Intelligence (BI)'
Which tools should I use for Malware protection?,SELECT * FROM data WHERE FunctionalArea = 'Malware'
What tools are commonly used in In-Memory Database solutions?,SELECT * FROM data WHERE FunctionalArea = 'In-Memory Database'
Show me tools for Web / HTTP Server.,SELECT * FROM data WHERE FunctionalArea = 'Web / HTTP Server'
List all the tools for Networking Platform/API.,SELECT * FROM data WHERE FunctionalArea = 'Networking Platform/API'
Which tools are suitable for Knowledge Management?,SELECT * FROM data WHERE FunctionalArea = 'Knowledge Management'
What are the tools commonly used in Client-side API development?,SELECT * FROM data WHERE FunctionalArea = 'Client-side API'
Show me tools used for GIS Database management.,SELECT * FROM data WHERE FunctionalArea = 'GIS Database'
List tools for Video Conferencing solutions.,SELECT * FROM data WHERE FunctionalArea = 'Video Conference'
Which tools are used for Code review?,SELECT * FROM data WHERE FunctionalArea = 'Code review'
What tools are recommended for managing Static Code Analysis?,SELECT * FROM data WHERE FunctionalArea = 'Static Code Analyzer'
Show me tools for Source Code Editor.,SELECT * FROM data WHERE FunctionalArea = 'Source Code Editor'
List all the tools for Build Tool.,SELECT * FROM data WHERE FunctionalArea = 'Build Tool'
Which tools are suitable for Testing purposes?,SELECT * FROM data WHERE FunctionalArea = 'Testing'
What are the tools commonly used in Analytics and Search Engine solutions?,SELECT * FROM data WHERE FunctionalArea = 'Analytics and Search Engine'
Show me tools for Messaging platforms.,SELECT * FROM data WHERE FunctionalArea = 'Messaging'
What are the toools for PPrtal/CMS?,SELECT * FROM data WHERE FunctionalArea = 'Portal/CMS'
Show me tools used for Databae Replication.,SELECT * FROM data WHERE FunctionalArea = 'Database Replication'
List all the tools for Messaging platofrms.,SELECT * FROM data WHERE FunctionalArea = 'Messaging'
Whiich tools are used for Appplication Server?,SELECT * FROM data WHERE FunctionalArea = 'Application Server'
What are the tools commonly used in Bussiness Intelligence (BI) soltuions?,SELECT * FROM data WHERE FunctionalArea = 'Business Intelligence (BI)'
Show me tools for Vrtualization.,SELECT * FROM data WHERE FunctionalArea = 'Virtualisation'
What tools are associated with E-learnig platforms?,SELECT * FROM data WHERE FunctionalArea = 'E-learning'
List tools for Source Code Control.,SELECT * FROM data WHERE FunctionalArea = 'Source Code Control'
Which tools should I use for Cross-platfrom application development?,SELECT * FROM data WHERE FunctionalArea = 'Cross-platform'
What tools are recommended for managing Containers?,SELECT * FROM data WHERE FunctionalArea = 'Containers'
Show me tools used for Mssaging.,SELECT * FROM data WHERE FunctionalArea = 'Messaging'
List all the tools for Web Service Framewrok.,SELECT * FROM data WHERE FunctionalArea = 'Web Service Framework'
Which tools are used for Appllication Server?,SELECT * FROM data WHERE FunctionalArea = 'Application Server'
What tools are commonly used in Testng?,SELECT * FROM data WHERE FunctionalArea = 'Testing'
Show me tools for Buid Tool.,SELECT * FROM data WHERE FunctionalArea = 'Build Tool'
List tools for Video Converence.,SELECT * FROM data WHERE FunctionalArea = 'Video Conference'
Which tools are suitable for Server Side Framwork?,SELECT * FROM data WHERE FunctionalArea = 'Server Side Framework'
What are the tools commonly used in Monitiring Solution?,SELECT * FROM data WHERE FunctionalArea = 'Monitoring Solution'
Show me tools for Confirguration Management for Distributed Systems.,SELECT * FROM data WHERE FunctionalArea = 'Configuration Management for Distributed Systems'
List all the tools for Programming Language Clent-side.,SELECT * FROM data WHERE FunctionalArea = 'Programming Language Client-side'
Which tools are used for GIS Destop?,SELECT * FROM data WHERE FunctionalArea = 'GIS Desktop'
What tools are associated with Non-Relational Database (Big Data)?,SELECT * FROM data WHERE FunctionalArea = 'Non-Relational Database (Big Data)'
Show me tools used in Analyics and Search Engine.,SELECT * FROM data WHERE FunctionalArea = 'Analytics and Search Engine'
List tools for Sorce Code Editor.,SELECT * FROM data WHERE FunctionalArea = 'Source Code Editor'
Which tools should I use for Dshboard development?,SELECT * FROM data WHERE FunctionalArea = 'Dashboard'
What tools are recommended for managing Storge?,SELECT * FROM data WHERE FunctionalArea = 'Storage'
Show me tools used for In-Memry Database.,SELECT * FROM data WHERE FunctionalArea = 'In-Memory Database'
List all the tools for IDE.,SELECT * FROM data WHERE FunctionalArea = 'IDE'
Which tools are suitable for Application Life Cycle Managemnt / Project Management?,SELECT * FROM data WHERE FunctionalArea = 'Application Life Cycle Management / Project Management'
What tools are commonly used in Databae Reporting?,SELECT * FROM data WHERE FunctionalArea = 'Database Reporting'
Show me tools for Server-side API (GoLang).,SELECT * FROM data WHERE FunctionalArea = 'Server-side API (GoLang)'
List tools for Networkig Platform/API.,SELECT * FROM data WHERE FunctionalArea = 'Networking Platform/API'
Which tools are used for Documentaion?,SELECT * FROM data WHERE FunctionalArea = 'Documentation'
What tools are associated with Knowlege Management?,SELECT * FROM data WHERE FunctionalArea = 'Knowledge Management'
Show me tools used for Directoy Services.,SELECT * FROM data WHERE FunctionalArea = 'Directory Services'
List all the tools for Issue Traking.,SELECT * FROM data WHERE FunctionalArea = 'Issue Tracking'
Which tools should I use for Databae Administration?,SELECT * FROM data WHERE FunctionalArea = 'Database Administration'
What tools are commonly used in Static Code Analyis?,SELECT * FROM data WHERE FunctionalArea = 'Static Code Analyzer'
Show me tools for Application Developemnt and Deployment.,SELECT * FROM data WHERE FunctionalArea = 'Application Development and Deployment'
List tools for Cross-platfrom application developement.,SELECT * FROM data WHERE FunctionalArea = 'Cross-platform'
Which tools are used for Monitring Solution?,SELECT * FROM data WHERE FunctionalArea = 'Monitoring Solution'
What are the tools commonly used in GIS Server managemnt?,SELECT * FROM data WHERE FunctionalArea = 'GIS Server'
Show me tools for Digital Archival Repsitory managment.,SELECT * FROM data WHERE FunctionalArea = 'Digital Archival Repository'
List all the tools for E-learing platforms.,SELECT * FROM data WHERE FunctionalArea = 'E-learning'
Which tools are suitable for Cloud Platfrm solutions?,SELECT * FROM data WHERE FunctionalArea = 'Cloud Platform'
What tools are recommended for managing Applciation Life Cycle Managemnt / Project Management?,SELECT * FROM data WHERE FunctionalArea = 'Application Life Cycle Management / Project Management'
Show me tools used for CI/CD.,SELECT * FROM data WHERE FunctionalArea = 'CI/CD'
List tools for Buisness Intelligence (BI) solutions.,SELECT * FROM data WHERE FunctionalArea = 'Business Intelligence (BI)'
Which tools should I use for Malware protction?,SELECT * FROM data WHERE FunctionalArea = 'Malware'
What tools are commonly used in In-Memery Database solutons?,SELECT * FROM data WHERE FunctionalArea = 'In-Memory Database'
Show me tools for Web / HTTP Server.,SELECT * FROM data WHERE FunctionalArea = 'Web / HTTP Server'
List all the tools for Netowrking Platform/API.,SELECT * FROM data WHERE FunctionalArea = 'Networking Platform/API'
Which tools are suitable for Knowlege Managemnt?,SELECT * FROM data WHERE FunctionalArea = 'Knowledge Management'
What are the tools commonly used in Cleint-side API developement?,SELECT * FROM data WHERE FunctionalArea = 'Client-side API'
Show me tools used for GIS Databse managemet.,SELECT * FROM data WHERE FunctionalArea = 'GIS Database'
List tools for Video Conferencig solutons.,SELECT * FROM data WHERE FunctionalArea = 'Video Conference'
Which tools are used for Code rewiew?,SELECT * FROM data WHERE FunctionalArea = 'Code review'
What tools are recommended for managing Static Code Analisys?,SELECT * FROM data WHERE FunctionalArea = 'Static Code Analyzer'
Show me tools for Source Code Editor.,SELECT * FROM data WHERE FunctionalArea = 'Source Code Editor'
List all the tools for Buid Tool.,SELECT * FROM data WHERE FunctionalArea = 'Build Tool'
Which tools are suitable for Testng purpoees?,SELECT * FROM data WHERE FunctionalArea = 'Testing'
What are the tools commonly used in Analytics and Serach Engine solutons?,SELECT * FROM data WHERE FunctionalArea = 'Analytics and Search Engine'
Show me tools for Messging platfors.,"SELECT * FROM data WHERE FunctionalArea = 'Messaging'
What are the tools for Portal/CNS?,SELECT * FROM data WHERE FunctionalArea = 'Portal/CMS'"""
Show me the tools for Programming Language Client-sied.,SELECT * FROM data WHERE FunctionalArea = 'Programming Language Client-side'
What are the tools for Client-side Framwork?,SELECT * FROM data WHERE FunctionalArea = 'Client-side Framework'
What are the tools for Application Srever?,SELECT * FROM data WHERE FunctionalArea = 'Application Server'
What are the tools for Server Side Framwork?,SELECT * FROM data WHERE FunctionalArea = 'Server Side Framework'
What are the tools for Web Service Framwork?,SELECT * FROM data WHERE FunctionalArea = 'Web Service Framework'
What are the tools for Source Code Editr?,SELECT * FROM data WHERE FunctionalArea = 'Source Code Editor'
What are the tools for Configuration Management for Disributed Systems?,SELECT * FROM data WHERE FunctionalArea = 'Configuration Management for Distributed Systems'
What are the tools for GIS Deskotp?,SELECT * FROM data WHERE FunctionalArea = 'GIS Desktop'
What are the tools for Non-Relational Databse (Big Data)?,SELECT * FROM data WHERE FunctionalArea = 'Non-Relational Database (Big Data)'
What are the tools for Mibile Native (iOS)?,SELECT * FROM data WHERE FunctionalArea = 'Mobile Native (iOS)'
What are the tools for Mobile Natie (Android)?,SELECT * FROM data WHERE FunctionalArea = 'Mobile Native (Android)'
What are the tools for Mesaging?,SELECT * FROM data WHERE FunctionalArea = 'Messaging'
What are the tools for Analytics and Serch Engine?,SELECT * FROM data WHERE FunctionalArea = 'Analytics and Search Engine'
What are the tools for Testng?,SELECT * FROM data WHERE FunctionalArea = 'Testing'
What are the tools for Bild Tool?,SELECT * FROM data WHERE FunctionalArea = 'Build Tool'
What are the tools for Video Confernce?,SELECT * FROM data WHERE FunctionalArea = 'Video Conference'
What are the tools for Source Code Contol?,SELECT * FROM data WHERE FunctionalArea = 'Source Code Control'
What are the tools for Cros-platform?,SELECT * FROM data WHERE FunctionalArea = 'Cross-platform'
What are the tools for Programming Language Server-side and Libray?,SELECT * FROM data WHERE FunctionalArea = 'Programming Language Server-side and Library'
What are the tools for Monitorig Solution?,SELECT * FROM data WHERE FunctionalArea = 'Monitoring Solution'
What are the tools for Database Reportng?,SELECT * FROM data WHERE FunctionalArea = 'Database Reporting'
What are the tools for Server-side API (GooLang)?,SELECT * FROM data WHERE FunctionalArea = 'Server-side API (GoLang)'
What are the tools for Deskop Operating System?,SELECT * FROM data WHERE FunctionalArea = 'Desktop Operating System'
What are the tools for Command Lne Interface?,SELECT * FROM data WHERE FunctionalArea = 'Command Line Interface'
What are the tools for Dashbord?,SELECT * FROM data WHERE FunctionalArea = 'Dashboard'
What are the tools for Storge?,SELECT * FROM data WHERE FunctionalArea = 'Storage'
What are the tools for Server Oprating System?,SELECT * FROM data WHERE FunctionalArea = 'Server Operating System'
What are the tools for Contaiers?,SELECT * FROM data WHERE FunctionalArea = 'Containers'
What are the tools for Object Relatonal Mapping?,SELECT * FROM data WHERE FunctionalArea = 'Object Relational Mapping'
What are the tools for Digital Archival Repositry?,SELECT * FROM data WHERE FunctionalArea = 'Digital Archival Repository'
What are the tools for ID?,SELECT * FROM data WHERE FunctionalArea = 'IDE'
What are the tools for Instant Mesaging?,SELECT * FROM data WHERE FunctionalArea = 'Instant Messaging'
What are the tools for Data Managemnt?,SELECT * FROM data WHERE FunctionalArea = 'Data Management'
What are the tools for Integrated Library Sysems?,SELECT * FROM data WHERE FunctionalArea = 'Integrated Library Systems'
What are the tools for GIS Serer?,SELECT * FROM data WHERE FunctionalArea = 'GIS Server'
What are the tools for Code reveiw?,SELECT * FROM data WHERE FunctionalArea = 'Code review'
What are the tools for CI/CCD?,SELECT * FROM data WHERE FunctionalArea = 'CI/CD'
What are the tools for Cloud Platfrm?,SELECT * FROM data WHERE FunctionalArea = 'Cloud Platform'
What are the tools for Business Intelligence (IB)?,SELECT * FROM data WHERE FunctionalArea = 'Business Intelligence (BI)'
What are the tools for Docmentation?,SELECT * FROM data WHERE FunctionalArea = 'Documentation'
What are the tools for Maleware?,SELECT * FROM data WHERE FunctionalArea = 'Malware'
What are the tools for In-Memory Datbase?,SELECT * FROM data WHERE FunctionalArea = 'In-Memory Database'
What are the tools for E-learnng?,SELECT * FROM data WHERE FunctionalArea = 'E-learning'
What are the tools for GIS Databse?,SELECT * FROM data WHERE FunctionalArea = 'GIS Database'
What are the tools for Web / HTTP Sevrer?,SELECT * FROM data WHERE FunctionalArea = 'Web / HTTP Server'
What are the tools for Networking Platfrm/API?,SELECT * FROM data WHERE FunctionalArea = 'Networking Platform/API'
What are the tools for Knowlege Management?,SELECT * FROM data WHERE FunctionalArea = 'Knowledge Management'
What are the tools for Client-side AIP?,SELECT * FROM data WHERE FunctionalArea = 'Client-side API'
What are the tools for Dirctory Services?,SELECT * FROM data WHERE FunctionalArea = 'Directory Services'
What are the tools for Isue Tracking?,SELECT * FROM data WHERE FunctionalArea = 'Issue Tracking'
What are the tools for Datbase Administration?,SELECT * FROM data WHERE FunctionalArea = 'Database Administration'
What are the tools for Static Code Analyser?,SELECT * FROM data WHERE FunctionalArea = 'Static Code Analyzer'
What are the tools for Virtualiztion?,SELECT * FROM data WHERE FunctionalArea = 'Virtualisation'
What are the tools for Application Life Cycle Managemnt / Project Management?,SELECT * FROM data WHERE FunctionalArea = 'Application Life Cycle Management / Project Management'
What are the tools for Databse Replication?,SELECT * FROM data WHERE FunctionalArea = 'Database Replication'
What are the tools for Server-side AIP?,SELECT * FROM data WHERE FunctionalArea = 'Server-side API'
What are the tools for NewSQ?,SELECT * FROM data WHERE FunctionalArea = 'NewSQL'
What are the tools for VNP?,SELECT * FROM data WHERE FunctionalArea = 'VPN'
What are the tools for Mail System?,SELECT * FROM data WHERE FunctionalArea = 'Mail'
What are the tools for Knowledge Managemnt?,SELECT * FROM data WHERE FunctionalArea = 'Knowledge Management'
Which tools are used for Portal/CNS?,SELECT * FROM data WHERE FunctionalArea = 'Portal/CMS'
Which tools are used for Programming Language Client-sied?,SELECT * FROM data WHERE FunctionalArea = 'Programming Language Client-side'
Which tools are used for Client-side Framwork?,SELECT * FROM data WHERE FunctionalArea = 'Client-side Framework'
Which tools are used for Application Srever?,SELECT * FROM data WHERE FunctionalArea = 'Application Server'
Which tools are used for Server Side Framwork?,SELECT * FROM data WHERE FunctionalArea = 'Server Side Framework'
Which tools are used for Web Service Framwork?,SELECT * FROM data WHERE FunctionalArea = 'Web Service Framework'
Which tools are used for Source Code Editr?,SELECT * FROM data WHERE FunctionalArea = 'Source Code Editor'
Which tools are used for Configuration Management for Disributed Systems?,SELECT * FROM data WHERE FunctionalArea = 'Configuration Management for Distributed Systems'
Which tools are used for GIS Deskotp?,SELECT * FROM data WHERE FunctionalArea = 'GIS Desktop'
Which tools are used for Non-Relational Databse (Big Data)?,SELECT * FROM data WHERE FunctionalArea = 'Non-Relational Database (Big Data)'
Which tools are used for Mibile Native (iOS)?,SELECT * FROM data WHERE FunctionalArea = 'Mobile Native (iOS)'
Which tools are used for Mobile Natie (Android)?,SELECT * FROM data WHERE FunctionalArea = 'Mobile Native (Android)'
Which tools are used for Mesaging?,SELECT * FROM data WHERE FunctionalArea = 'Messaging'
Which tools are used for Analytics and Serch Engine?,SELECT * FROM data WHERE FunctionalArea = 'Analytics and Search Engine'
Which tools are used for Testng?,SELECT * FROM data WHERE FunctionalArea = 'Testing'
Which tools are used for Bild Tool?,SELECT * FROM data WHERE FunctionalArea = 'Build Tool'
Which tools are used for Video Confernce?,SELECT * FROM data WHERE FunctionalArea = 'Video Conference'
Which tools are used for Source Code Contol?,SELECT * FROM data WHERE FunctionalArea = 'Source Code Control'
Which tools are used for Cros-platform?,SELECT * FROM data WHERE FunctionalArea = 'Cross-platform'
Which tools are used for Programming Language Server-side and Libray?,SELECT * FROM data WHERE FunctionalArea = 'Programming Language Server-side and Library'
Which tools are used for Monitorig Solution?,SELECT * FROM data WHERE FunctionalArea = 'Monitoring Solution'
Which tools are used for Database Reportng?,SELECT * FROM data WHERE FunctionalArea = 'Database Reporting'
Which tools are used for Server-side API (GooLang)?,SELECT * FROM data WHERE FunctionalArea = 'Server-side API (GoLang)'
Which tools are used for Deskop Operating System?,SELECT * FROM data WHERE FunctionalArea = 'Desktop Operating System'
Which tools are used for Command Lne Interface?,SELECT * FROM data WHERE FunctionalArea = 'Command Line Interface'
Which tools are used for Dashbord?,SELECT * FROM data WHERE FunctionalArea = 'Dashboard'
Which tools are used for Storge?,SELECT * FROM data WHERE FunctionalArea = 'Storage'
Which tools are used for Server Oprating System?,SELECT * FROM data WHERE FunctionalArea = 'Server Operating System'
Which tools are used for Contaiers?,SELECT * FROM data WHERE FunctionalArea = 'Containers'
Which tools are used for Object Relatonal Mapping?,SELECT * FROM data WHERE FunctionalArea = 'Object Relational Mapping'
Which tools are used for Digital Archival Repositry?,SELECT * FROM data WHERE FunctionalArea = 'Digital Archival Repository'
Which tools are used for ID?,SELECT * FROM data WHERE FunctionalArea = 'IDE'
Which tools are used for Instant Mesaging?,SELECT * FROM data WHERE FunctionalArea = 'Instant Messaging'
Which tools are used for Data Managemnt?,SELECT * FROM data WHERE FunctionalArea = 'Data Management'
Which tools are used for Integrated Library Sysems?,SELECT * FROM data WHERE FunctionalArea = 'Integrated Library Systems'
Which tools are used for GIS Serer?,SELECT * FROM data WHERE FunctionalArea = 'GIS Server'
Which tools are used for Code reveiw?,SELECT * FROM data WHERE FunctionalArea = 'Code review'
Which tools are used for CI/CCD?,SELECT * FROM data WHERE FunctionalArea = 'CI/CD'
Which tools are used for Cloud Platfrm?,SELECT * FROM data WHERE FunctionalArea = 'Cloud Platform'
Which tools are used for Business Intelligence (IB)?,SELECT * FROM data WHERE FunctionalArea = 'Business Intelligence (BI)'
Which tools are used for Docmentation?,SELECT * FROM data WHERE FunctionalArea = 'Documentation'
Which tools are used for Maleware?,SELECT * FROM data WHERE FunctionalArea = 'Malware'
Which tools are used for In-Memory Datbase?,SELECT * FROM data WHERE FunctionalArea = 'In-Memory Database'
Which tools are used for E-learnng?,SELECT * FROM data WHERE FunctionalArea = 'E-learning'
Which tools are used for GIS Databse?,SELECT * FROM data WHERE FunctionalArea = 'GIS Database'
Which tools are used for Web / HTTP Sevrer?,SELECT * FROM data WHERE FunctionalArea = 'Web / HTTP Server'
Which tools are used for Networking Platfrm/API?,SELECT * FROM data WHERE FunctionalArea = 'Networking Platform/API'
Which tools are used for Knowlege Management?,SELECT * FROM data WHERE FunctionalArea = 'Knowledge Management'
Which tools are used for Client-side AIP?,SELECT * FROM data WHERE FunctionalArea = 'Client-side API'
Which tools are used for Dirctory Services?,SELECT * FROM data WHERE FunctionalArea = 'Directory Services'
Which tools are used for Isue Tracking?,SELECT * FROM data WHERE FunctionalArea = 'Issue Tracking'
Which tools are used for Datbase Administration?,SELECT * FROM data WHERE FunctionalArea = 'Database Administration'
Which tools are used for Static Code Analyser?,SELECT * FROM data WHERE FunctionalArea = 'Static Code Analyzer'
Which tools are used for Virtualiztion?,SELECT * FROM data WHERE FunctionalArea = 'Virtualisation'
Which tools are used for Application Life Cycle Managemnt / Project Management?,SELECT * FROM data WHERE FunctionalArea = 'Application Life Cycle Management / Project Management'
Which tools are used for Databse Replication?,SELECT * FROM data WHERE FunctionalArea = 'Database Replication'
Which tools are used for Server-side AIP?,SELECT * FROM data WHERE FunctionalArea = 'Server-side API'
Which tools are used for NewSQ?,SELECT * FROM data WHERE FunctionalArea = 'NewSQL'
Which tools are used for VNP?,SELECT * FROM data WHERE FunctionalArea = 'VPN'
Which tools are used for Mail System?,SELECT * FROM data WHERE FunctionalArea = 'Mail'
Which tools are used for Knowledge Managemnt?,SELECT * FROM data WHERE FunctionalArea = 'Knowledge Management'
What tools are recommended for Server OS?,SELECT * FROM data WHERE FunctionalArea = 'Server Operating System'
Show me the tools used for Native (iOS) dev.,SELECT * FROM data WHERE FunctionalArea = 'Mobile Native (iOS)'
List all the tools for DB Replication.,SELECT * FROM data WHERE FunctionalArea = 'Database Replication'
Which tools are suitable for GIS Server mgmt?,SELECT * FROM data WHERE FunctionalArea = 'GIS Server'
What are the tools used in BI solutions?,SELECT * FROM data WHERE FunctionalArea = 'Business Intelligence (BI)'
Show me tools for Virtualisation.,SELECT * FROM data WHERE FunctionalArea = 'Virtualisation'
What tools are associated with E-learning?,SELECT * FROM data WHERE FunctionalArea = 'E-learning'
List tools for Source Code Ctrl.,SELECT * FROM data WHERE FunctionalArea = 'Source Code Control'
Which tools should I use for Cross-platform dev?,SELECT * FROM data WHERE FunctionalArea = 'Cross-platform'
What tools are recommended for Containers?,SELECT * FROM data WHERE FunctionalArea = 'Containers'
Show me the tools used for Messaging.,SELECT * FROM data WHERE FunctionalArea = 'Messaging'
List all the tools for Web Service FW.,SELECT * FROM data WHERE FunctionalArea = 'Web Service Framework'
Which tools are used for App Server?,SELECT * FROM data WHERE FunctionalArea = 'Application Server'
What tools are commonly used in Testing?,SELECT * FROM data WHERE FunctionalArea = 'Testing'
Show me tools for Build Tool.,SELECT * FROM data WHERE FunctionalArea = 'Build Tool'
List tools for Video Conf.,SELECT * FROM data WHERE FunctionalArea = 'Video Conference'
Which tools are suitable for Server Side FW?,SELECT * FROM data WHERE FunctionalArea = 'Server Side Framework'
What are the tools used in Monitoring Sol.?,SELECT * FROM data WHERE FunctionalArea = 'Monitoring Solution'
Show me tools for Config Mgmt for Dist Sys.,SELECT * FROM data WHERE FunctionalArea = 'Configuration Management for Distributed Systems'
List all the tools for Client-side Lang.,SELECT * FROM data WHERE FunctionalArea = 'Programming Language Client-side'
Which tools are used for GIS Desktop?,SELECT * FROM data WHERE FunctionalArea = 'GIS Desktop'
What tools are associated with Big Data?,SELECT * FROM data WHERE FunctionalArea = 'Non-Relational Database (Big Data)'
Show me tools used in Analytics & Search.,SELECT * FROM data WHERE FunctionalArea = 'Analytics and Search Engine'
List tools for Source Code Edit.,SELECT * FROM data WHERE FunctionalArea = 'Source Code Editor'
Which tools should I use for Dashboards?,SELECT * FROM data WHERE FunctionalArea = 'Dashboard'
What tools are recommended for Storage?,SELECT * FROM data WHERE FunctionalArea = 'Storage'
Show me tools for In-Memory DB.,SELECT * FROM data WHERE FunctionalArea = 'In-Memory Database'
List all the tools for IDE.,SELECT * FROM data WHERE FunctionalArea = 'IDE'
Which tools are suitable for App Lifecycle Mgmt?,SELECT * FROM data WHERE FunctionalArea = 'Application Life Cycle Management / Project Management'
What tools are commonly used in DB Reporting?,SELECT * FROM data WHERE FunctionalArea = 'Database Reporting'
Show me tools for GoLang API.,SELECT * FROM data WHERE FunctionalArea = 'Server-side API (GoLang)'
List tools for Networking API.,SELECT * FROM data WHERE FunctionalArea = 'Networking Platform/API'
Which tools are used for Docs?,SELECT * FROM data WHERE FunctionalArea = 'Documentation'
What tools are associated with KM?,SELECT * FROM data WHERE FunctionalArea = 'Knowledge Management'
Show me tools used for Directory Serv.,SELECT * FROM data WHERE FunctionalArea = 'Directory Services'
List all the tools for Issue Tracking.,SELECT * FROM data WHERE FunctionalArea = 'Issue Tracking'
Which tools should I use for DB Admin?,SELECT * FROM data WHERE FunctionalArea = 'Database Administration'
What tools are commonly used in Static Code Analysis?,SELECT * FROM data WHERE FunctionalArea = 'Static Code Analyzer'
Show me tools for App Dev & Deploy.,SELECT * FROM data WHERE FunctionalArea = 'Application Development and Deployment'
List tools for Cross-platform dev.,SELECT * FROM data WHERE FunctionalArea = 'Cross-platform'
Which tools are used for Monitoring Sol.?,SELECT * FROM data WHERE FunctionalArea = 'Monitoring Solution'
What are the tools commonly used in GIS Server mgmt?,SELECT * FROM data WHERE FunctionalArea = 'GIS Server'
Show me tools for Digital Archive Repo.,SELECT * FROM data WHERE FunctionalArea = 'Digital Archival Repository'
List all the tools for E-learning platforms.,SELECT * FROM data WHERE FunctionalArea = 'E-learning'
Which tools are suitable for Cloud Platform?,SELECT * FROM data WHERE FunctionalArea = 'Cloud Platform'
What tools are recommended for App Lifecycle Mgmt?,SELECT * FROM data WHERE FunctionalArea = 'Application Life Cycle Management / Project Management'
Show me tools used for CI/CD.,SELECT * FROM data WHERE FunctionalArea = 'CI/CD'
List tools for BI solutions.,SELECT * FROM data WHERE FunctionalArea = 'Business Intelligence (BI)'
Which tools should I use for Malware protection?,SELECT * FROM data WHERE FunctionalArea = 'Malware'
What tools are commonly used in In-Memory DB?,SELECT * FROM data WHERE FunctionalArea = 'In-Memory Database'
Show me tools for Web / HTTP Server.,SELECT * FROM data WHERE FunctionalArea = 'Web / HTTP Server'
List all the tools for Networking API.,SELECT * FROM data WHERE FunctionalArea = 'Networking Platform/API'
Which tools are suitable for KM?,SELECT * FROM data WHERE FunctionalArea = 'Knowledge Management'
What are the tools used in Client-side API dev?,SELECT * FROM data WHERE FunctionalArea = 'Client-side API'
